"id","chart_tem_id","name"
"l10n_co_fis_pos_tem_com_cun","l10n_co_chr_tem_com","Común"
"l10n_co_fis_pos_tem_com_sim","l10n_co_chr_tem_com","Simplificado"
"l10n_co_fis_pos_tem_com_aut","l10n_co_chr_tem_com","Autoretenedor"
"l10n_co_fis_pos_tem_com_int","l10n_co_chr_tem_com","Internacional"
"l10n_co_fis_pos_tem_fin_cun","l10n_co_chr_tem_fin","Común"
"l10n_co_fis_pos_tem_fin_sim","l10n_co_chr_tem_fin","Simplificado"
"l10n_co_fis_pos_tem_fin_aut","l10n_co_chr_tem_fin","Autoretenedor"
"l10n_co_fis_pos_tem_fin_int","l10n_co_chr_tem_fin","Internacional"
"l10n_co_fis_pos_tem_sol_cún","l10n_co_chr_tem_sol","Común"
"l10n_co_fis_pos_tem_sol_sim","l10n_co_chr_tem_sol","Simplificado"
"l10n_co_fis_pos_tem_sol_aut","l10n_co_chr_tem_sol","Autoretenedor"
"l10n_co_fis_pos_tem_sol_int","l10n_co_chr_tem_sol","Internacional"