"id","country_id:id","name","code"
state_co_05,base.co,"Antioquia","05"
state_co_08,base.co,"Atlantico","08"
state_co_11,base.co,"Bogota","11"
state_co_13,base.co,"Bolivar","13"
state_co_15,base.co,"Boyaca","15"
state_co_17,base.co,"Caldas","17"
state_co_18,base.co,"Caqueta","18"
state_co_19,base.co,"Cauca","19"
state_co_20,base.co,"Cesar","20"
state_co_23,base.co,"Cordoba","23"
state_co_25,base.co,"Cundinamarca","25"
state_co_27,base.co,"Choco","27"
state_co_41,base.co,"Huila","41"
state_co_44,base.co,"La Guajira","44"
state_co_47,base.co,"Magdalena","47"
state_co_50,base.co,"Meta","50"
state_co_52,base.co,"Nari̱o","52"
state_co_54,base.co,"Norte De Santander","54"
state_co_63,base.co,"Quindio","63"
state_co_66,base.co,"Risaralda","66"
state_co_68,base.co,"Santander","68"
state_co_70,base.co,"Sucre","70"
state_co_73,base.co,"Tolima","73"
state_co_76,base.co,"Valle Del Cauca","76"
state_co_81,base.co,"Arauca","81"
state_co_85,base.co,"Casanare","85"
state_co_86,base.co,"Putumayo","86"
state_co_88,base.co,"San Andres","88"
state_co_91,base.co,"Amazonas","91"
state_co_94,base.co,"Guainia","94"
state_co_95,base.co,"Guaviare","95"
state_co_97,base.co,"Vaupes","97"
state_co_99,base.co,"Vichada","99"
